time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
1.300005,0.000319,0.000108,0.000347
1.305005,0.000335,0.000129,0.000218
1.310005,0.000339,0.000137,0.000127
1.315005,0.000318,0.000115,0.000012
1.320006,0.000295,0.000088,-0.000108
1.325006,0.000263,0.000050,-0.000436
1.330006,0.000248,0.000034,-0.000783
1.335006,0.000250,0.000039,-0.001467
1.340007,0.000249,0.000040,-0.002016
1.345007,0.000265,0.000062,-0.002918
1.350007,0.000285,0.000090,-0.003570
1.355007,0.000304,0.000123,-0.004562
1.360008,0.000305,0.000130,-0.005217
1.365008,0.000304,0.000132,-0.006114
1.370008,0.000304,0.000136,-0.006631
1.375008,0.000322,0.000174,-0.007259
1.380008,0.000329,0.000189,-0.007587
1.385009,0.000329,0.000194,-0.007962
1.390009,0.000324,0.000189,-0.008134
1.395009,0.000311,0.000172,-0.008263
1.400009,0.000299,0.000153,-0.008280
1.405010,0.000283,0.000126,-0.008236
1.410010,0.000278,0.000114,-0.008170
1.415010,0.000275,0.000107,-0.008020
1.420010,0.000268,0.000086,-0.007909
1.425011,0.000259,0.000062,-0.007754
1.430011,0.000253,0.000049,-0.007660
1.435011,0.000244,0.000026,-0.007517
1.440011,0.000235,0.000003,-0.007437
1.445011,0.000217,-0.000060,-0.007319
1.450012,0.000208,-0.000095,-0.007241
1.455012,0.000199,-0.000121,-0.007118
1.460012,0.000196,-0.000126,-0.007036
1.465012,0.000196,-0.000120,-0.006891
1.470013,0.000197,-0.000105,-0.006771
1.475013,0.000197,-0.000081,-0.006588
1.480013,0.000196,-0.000070,-0.006463
1.485013,0.000194,-0.000068,-0.006257
1.490014,0.000193,-0.000056,-0.006109
1.495014,0.000193,-0.000022,-0.005831
1.500014,0.000191,0.000007,-0.005627
1.505014,0.000188,0.000049,-0.005317
1.510015,0.000188,0.000066,-0.005104
1.515015,0.000190,0.000057,-0.004783
1.520015,0.000192,0.000046,-0.004573
1.525015,0.000196,0.000010,-0.004239
1.530015,0.000202,-0.000035,-0.004039
1.535016,0.000210,-0.000095,-0.003760
1.540016,0.000212,-0.000115,-0.003569
1.545016,0.000214,-0.000138,-0.003274
1.550016,0.000216,-0.000151,-0.003062
1.555017,0.000221,-0.000171,-0.002725
1.560017,0.000221,-0.000175,-0.002500
1.565017,0.000224,-0.000200,-0.002169
1.570017,0.000222,-0.000206,-0.001934
1.575018,0.000217,-0.000207,-0.001587
1.580018,0.000214,-0.000210,-0.001368
1.585018,0.000212,-0.000212,-0.001082
1.590018,0.000213,-0.000220,-0.000913
1.595019,0.000215,-0.000232,-0.000693
1.600019,0.000213,-0.000224,-0.000548
1.605019,0.000212,-0.000214,-0.000324
1.610019,0.000206,-0.000186,-0.000186
1.615019,0.000201,-0.000153,0.000015
1.620020,0.000200,-0.000143,0.000127
1.625020,0.000197,-0.000116,0.000318
1.630020,0.000192,-0.000088,0.000439
1.635020,0.000178,-0.000024,0.000576
1.640021,0.000169,0.000021,0.000654
1.645021,0.000163,0.000050,0.000782
1.650021,0.000163,0.000048,0.000858
1.655021,0.000162,0.000057,0.000964
1.660022,0.000163,0.000056,0.001050
1.665022,0.000171,0.000032,0.001175
1.670022,0.000175,0.000021,0.001267
1.675022,0.000183,-0.000011,0.001394
1.680022,0.000190,-0.000041,0.001462
1.685023,0.000202,-0.000107,0.001513
1.690023,0.000212,-0.000162,0.001532
1.695023,0.000220,-0.000218,0.001565
1.700023,0.000224,-0.000237,0.001575
1.705024,0.000227,-0.000254,0.001584
1.710024,0.000226,-0.000244,0.001583
1.715024,0.000222,-0.000223,0.001566
1.720024,0.000221,-0.000218,0.001552
1.725025,0.000218,-0.000182,0.001522
1.730025,0.000214,-0.000143,0.001492
1.735025,0.000205,-0.000061,0.001456
1.740025,0.000200,-0.000017,0.001427
1.745026,0.000196,0.000027,0.001402
1.750026,0.000193,0.000056,0.001389
1.755026,0.000195,0.000047,0.001380
1.760026,0.000198,0.000022,0.001369
1.765026,0.000200,-0.000016,0.001340
1.770027,0.000201,-0.000048,0.001309
1.775027,0.000201,-0.000074,0.001248
1.780027,0.000201,-0.000079,0.001197
1.785027,0.000201,-0.000070,0.001131
1.790028,0.000202,-0.000063,0.001083
1.795028,0.000202,-0.000068,0.001020
1.800028,0.000201,-0.000060,0.000960
1.805028,0.000201,-0.000055,0.000857
1.810029,0.000200,0.000008,0.000715
1.815029,0.000196,0.000373,0.000233
1.820029,0.000193,0.000830,-0.000266
1.825029,0.000191,0.001764,-0.001256
1.830029,0.000189,0.002548,-0.002089
1.835030,0.000171,0.003913,-0.003542
1.840030,0.000141,0.004937,-0.004607
1.845030,0.000057,0.006480,-0.006323
1.850030,-0.000034,0.007471,-0.007456
1.855031,-0.000229,0.008809,-0.009041
1.860031,-0.000395,0.009572,-0.009979
1.865031,-0.000660,0.010378,-0.011045
1.870031,-0.000821,0.010643,-0.011482
1.875032,-0.000999,0.010654,-0.011712
1.880032,-0.001067,0.010469,-0.011624
1.885032,-0.001081,0.009983,-0.011228
1.890032,-0.001025,0.009547,-0.010828
1.895033,-0.000854,0.008802,-0.010047
1.900033,-0.000685,0.008264,-0.009433
1.905033,-0.000348,0.007408,-0.008394
1.910033,-0.000086,0.006841,-0.007677
1.915033,0.000315,0.006076,-0.006631
1.920034,0.000565,0.005646,-0.006012
1.925034,0.000920,0.005091,-0.005225
1.930034,0.001126,0.004797,-0.004788
1.935034,0.001380,0.004466,-0.004245
1.940035,0.001560,0.004248,-0.003854
1.945035,0.002096,0.003634,-0.002812
1.950035,0.002660,0.003018,-0.001740
1.955035,0.003753,0.001852,0.000223
1.960036,0.004598,0.000952,0.001695
1.965036,0.005954,-0.000521,0.004036
1.970036,0.006885,-0.001574,0.005658
1.975036,0.008259,-0.003249,0.008101
1.980036,0.009147,-0.004444,0.009716
1.985037,0.010354,-0.006311,0.012061
1.990037,0.011062,-0.007616,0.013573
1.995037,0.011933,-0.009646,0.015716
2.000037,0.012366,-0.011031,0.017074
2.005037,0.012765,-0.013117,0.018968
2.010037,0.012822,-0.014414,0.020081
2.015036,0.012585,-0.016075,0.021396
2.020036,0.012234,-0.016882,0.021980
2.025036,0.011515,-0.017527,0.022369
2.030035,0.010977,-0.017588,0.022348
2.035035,0.010184,-0.017181,0.021985
2.040035,0.009710,-0.016642,0.021548
2.045034,0.009132,-0.015512,0.020657
2.050034,0.008855,-0.014615,0.019947
2.055033,0.008604,-0.013155,0.018758
2.060033,0.008544,-0.012159,0.017905
2.065033,0.008597,-0.010686,0.016553
2.070032,0.008721,-0.009732,0.015617
2.075032,0.009015,-0.008378,0.014173
2.080032,0.009267,-0.007541,0.013190
2.085031,0.009706,-0.006392,0.011732
2.090031,0.010032,-0.005687,0.010798
2.095031,0.010552,-0.004717,0.009445
2.100030,0.010903,-0.004137,0.008598
2.105030,0.011440,-0.003338,0.007384
2.110029,0.011791,-0.002856,0.006616
2.115029,0.012299,-0.002201,0.005564
2.120029,0.012620,-0.001809,0.004925
2.125028,0.013029,-0.001321,0.004130
2.130028,0.013243,-0.001071,0.003742
2.135028,0.013468,-0.000803,0.003363
2.140027,0.013554,-0.000690,0.003211
2.145027,0.013633,-0.000575,0.003141
2.150027,0.013650,-0.000534,0.003181
2.155026,0.013680,-0.000473,0.003256
2.160026,0.013722,-0.000416,0.003200
2.165025,0.013996,-0.000168,0.002711
2.170025,0.014406,0.000170,0.002031
2.175025,0.015331,0.000904,0.000526
2.180024,0.016127,0.001531,-0.000728
2.185024,0.017564,0.002679,-0.002874
2.190024,0.018587,0.003531,-0.004363
2.195023,0.020091,0.004875,-0.006558
2.200023,0.021025,0.005798,-0.007930
2.205023,0.022227,0.007156,-0.009769
2.210022,0.022841,0.007988,-0.010767
2.215022,0.023410,0.009001,-0.011812
2.220021,0.023570,0.009494,-0.012206
2.225021,0.023539,0.009938,-0.012375
2.230021,0.023398,0.010069,-0.012285
2.235020,0.023075,0.010058,-0.011957
2.240020,0.022820,0.009940,-0.011644
2.245020,0.022423,0.009659,-0.011076
2.250019,0.022163,0.009426,-0.010662
2.255019,0.021794,0.009035,-0.010026
2.260019,0.021570,0.008778,-0.009618
2.265018,0.021262,0.008397,-0.009022
2.270018,0.021073,0.008149,-0.008648
2.275017,0.020817,0.007811,-0.008121
2.280017,0.020661,0.007606,-0.007802
2.285017,0.020444,0.007311,-0.007381
2.290016,0.020310,0.007146,-0.007131
2.295016,0.020124,0.006924,-0.006789
2.300016,0.020010,0.006806,-0.006596
2.305015,0.019850,0.006626,-0.006345
2.310015,0.019751,0.006520,-0.006200
2.315015,0.019612,0.006361,-0.005999
2.320014,0.019527,0.006238,-0.005856
2.325014,0.019412,0.006032,-0.005622
2.330014,0.019343,0.005887,-0.005459
2.335013,0.019253,0.005623,-0.005225
2.340013,0.019202,0.005416,-0.005082
2.345012,0.019139,0.005082,-0.004857
2.350012,0.019107,0.004842,-0.004709
2.355012,0.019073,0.004457,-0.004476
2.360011,0.019062,0.004182,-0.004299
2.365011,0.019058,0.003772,-0.004024
2.370011,0.019062,0.003507,-0.003846
2.375010,0.019079,0.003115,-0.003564
2.380010,0.019100,0.002847,-0.003368
2.385010,0.019135,0.002470,-0.003093
2.390009,0.019165,0.002219,-0.002888
2.395009,0.019217,0.001850,-0.002610
2.400008,0.019255,0.001610,-0.002420
2.405008,0.019317,0.001252,-0.002159
2.410008,0.019361,0.001015,-0.001995
2.415007,0.019427,0.000689,-0.001766
2.420007,0.019476,0.000469,-0.001599
2.425007,0.019549,0.000152,-0.001352
2.430006,0.019594,-0.000037,-0.001208
2.435006,0.019658,-0.000281,-0.001019
2.440006,0.019701,-0.000439,-0.000895
2.445005,0.019761,-0.000663,-0.000729
2.450005,0.019799,-0.000794,-0.000624
2.455004,0.019851,-0.000969,-0.000495
2.460004,0.019882,-0.001075,-0.000403
2.465004,0.019933,-0.001251,-0.000287
2.470003,0.019964,-0.001356,-0.000214
2.475003,0.020002,-0.001468,-0.000096
2.480003,0.020027,-0.001545,-0.000031
2.485002,0.020065,-0.001667,0.000037
2.490002,0.020090,-0.001751,0.000078
2.495002,0.020118,-0.001839,0.000163
2.500001,0.020135,-0.001890,0.000238
2.505001,0.020157,-0.001944,0.000340
2.510000,0.020170,-0.001976,0.000390
2.515000,0.020188,-0.002017,0.000407
2.520000,0.020201,-0.002047,0.000400
2.524999,0.020219,-0.002093,0.000356
2.529999,0.020232,-0.002129,0.000321
2.534999,0.020250,-0.002171,0.000290
2.539998,0.020260,-0.002182,0.000261
2.544998,0.020271,-0.002172,0.000206
2.549998,0.020278,-0.002161,0.000175
2.554997,0.020291,-0.002172,0.000163
2.559997,0.020297,-0.002154,0.000151
2.564996,0.020307,-0.002108,0.000137
2.569996,0.020312,-0.002061,0.000138
2.574996,0.020319,-0.001970,0.000139
2.579995,0.020324,-0.001923,0.000116
2.584995,0.020333,-0.001882,0.000051
2.589995,0.020340,-0.001878,0.000024
2.594994,0.020349,-0.001852,-0.000011
2.599994,0.020355,-0.001825,-0.000044
2.604994,0.020363,-0.001779,-0.000095
